Area,crime_2011,crime_2021
E01000734,0.041788856,0.028469751
E01000735,0.093038822,0.078244275
E01000736,0.065983344,0.048602673
E01000737,0.086482558,0.094298246
E01000738,0.16852459,0.07370283
E01000739,0.086557377,0.088719154
E01000740,0.085342529,0.079747003
E01000741,0.093614383,0.076190476
E01000742,0.078412391,0.07490458
E01000743,0.095852018,0.114628821
E01000744,0.086084142,0.101174935
E01000745,0.093258427,0.076144835
E01000746,0.091198303,0.047996042
E01000747,0.064766839,0.063235294
E01000748,0.053125,0.042016807
E01000749,0.061868687,0.055245189
E01000750,0.030687125,0.056125941
E01000751,0.049652433,0.068752755
E01000752,0.059412133,0.032935832
E01000753,0.018794914,0.015584416
E01000754,0.035098156,0.040875072
E01000755,0.019973369,0.010989011
E01000756,0.100319489,0.074351585
E01000757,0.018754186,0.015943878
E01000758,0.024340771,0.019674355
E01000759,0.040671401,0.026251526
E01000760,0.077637691,0.039544638
E01000761,0.021276596,0.033779477
E01000762,0.01659496,0.027586207
E01000763,0.027491409,0.028531663
E01000764,0.028518289,0.046524357
E01000765,0.078500293,0.071029083
E01000766,0.021536671,0.024838013
E01000767,0.025547445,0.030599755
E01000768,0.024421594,0.027986348
E01000769,0.188466948,0.247826087
E01000770,0.048353189,0.051677852
E01000771,0.072560976,0.048214286
E01000772,0.01980198,0.025802391
E01000773,0.03022339,0.022584693
E01000774,0.066712049,0.061497326
E01000775,0.05792014,0.061923584
E01000777,0.047193878,0.038626609
E01000778,0.049180328,0.085223789
E01000779,0.276198213,0.081412104
E01000780,0.06922043,0.063432836
E01000781,0.074914089,0.0498132
E01000782,0.097728837,0.113020489
E01000783,0.068692206,0.047110553
E01000784,0.04313205,0.026779882
E01000785,0.068542569,0.064984227
E01000786,0.09540636,0.064669843
E01000787,0.06566738,0.050068587
E01000788,0.051735429,0.053398058
E01000789,0.06171491,0.09701897
E01000790,0.220530452,0.188646288
E01000791,0.038834951,0.030728123
E01000792,0.085739283,0.058862434
E01000793,0.022151899,0.01873385
E01000794,0.026992288,0.017868539
E01000795,0.038979447,0.035714286
E01000796,0.080557238,0.091849935
E01000797,0.122122762,0.10564663
E01000798,0.104054054,0.094033722
E01000799,0.223165555,0.176503034
E01000800,0.091687042,0.095583787
E01000801,0.059691011,0.07218543
E01000802,0.063109581,0.044719828
E01000803,0.061643836,0.05945604
E01000804,0.080611536,0.047912389
E01000805,0.062706271,0.063313609
E01000806,0.107594937,0.093982808
E01000807,0.078622482,0.067641682
E01000808,0.030510585,0.016179216
E01000809,0.019775873,0.01754386
E01000810,0.025948104,0.027308192
E01000811,0.028744327,0.030746706
E01000812,0.048096192,0.043292683
E01000813,0.053582555,0.038485804
E01000814,0.026195154,0.024111675
E01000815,0.042262679,0.022
E01000816,0.041722746,0.051646223
E01000818,0.031377899,0.023866348
E01000819,0.105937136,0.092682927
E01000820,0.06509299,0.108935129
E01000822,0.03009828,0.053970223
E01000823,0.037937167,0.076655052
E01000824,0.071782178,0.095988539
E01000825,0.048040455,0.060534125
E01000826,0.022181146,0.0195241
E01000827,0.03125,0.030726257
E01000828,0.020846494,0.046388726
E01000829,0.028032037,0.026062323
E01000830,0.027759845,0.029429798
E01000831,0.019571865,0.02301496
E01000832,0.045087483,0.021971124
E01000833,0.014344262,0.028455285
E01000834,0.02936747,0.028550512
E01000835,0.113440197,0.121400339
E01000836,0.021111893,0.016300496
