Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021,crime_2011,crime_2021,gentrification_score
E01000170,0.244,0.359,0.685,0.629,0.149,0.117,0.063993174,0.107072042,249000,567500,0.069028711,0.084781464,0.267639152
E01000171,0.281,0.382,0.605,0.569,0.07,0.071,0.073966642,0.126157407,200000,442500,0.106681034,0.123505976,0.073680874
E01000172,0.184,0.266,0.586,0.505,0.154,0.174,0.048101266,0.056732224,352498,630000,0.040998217,0.033234421,-0.105936453
E01000173,0.222,0.339,0.638,0.525,0.122,0.148,0.039012739,0.062883436,372500,591000,0.030671296,0.037667072,-0.942549875
E01000174,0.283,0.318,0.685,0.603,0.127,0.138,0.068774704,0.097332372,270000,426250,0.071717756,0.116477273,-0.166528475
E01000175,0.216,0.31,0.592,0.514,0.15,0.142,0.052724077,0.059920107,348500,657500,0.044359949,0.028106509,0.236563806
E01000176,0.368,0.382,0.689,0.592,0.155,0.208,0.102780118,0.138326586,321000,500000,0.044417027,0.053975624,-0.308979957
E01000177,0.208,0.227,0.413,0.341,0.114,0.14,0.037296037,0.046202036,340000,642500,0.068860451,0.051390568,0.157163322
E01000178,0.212,0.274,0.492,0.386,0.145,0.149,0.046566693,0.079389313,509000,954575,0.058333333,0.056707317,-0.364945121
E01000179,0.234,0.282,0.402,0.351,0.082,0.083,0.031684699,0.047109208,315000,621250,0.049321825,0.039615167,0.141220668
E01000180,0.295,0.365,0.529,0.466,0.158,0.17,0.053872054,0.092592593,332500,460000,0.03795893,0.039072039,-0.767621484
E01000181,0.189,0.264,0.397,0.31,0.111,0.151,0.038665656,0.046329294,685000,947500,0.077952298,0.080701754,-0.791320386
E01000182,0.189,0.246,0.387,0.315,0.137,0.161,0.025757576,0.050184502,514000,1110000,0.073616019,0.074028378,-0.451622704
E01000183,0.234,0.309,0.42,0.405,0.195,0.22,0.043902439,0.105872622,337500,440500,0.041468389,0.035433071,-1.590790106
E01000184,0.431,0.505,0.713,0.572,0.108,0.096,0.099502488,0.117996045,225000,375000,0.08674189,0.060606061,0.222467831
E01000185,0.512,0.569,0.677,0.566,0.095,0.127,0.136446886,0.149797571,202000,365000,0.065247253,0.064516129,0.096956537
E01000186,0.297,0.327,0.584,0.524,0.14,0.18,0.041666667,0.04718417,486250,762500,0.026608911,0.024958403,-0.053760811
E01000187,0.307,0.347,0.662,0.589,0.169,0.189,0.068265683,0.0976,395000,745000,0.040385775,0.029511918,0.097459583
E01000188,0.312,0.437,0.588,0.49,0.151,0.216,0.034605146,0.063953488,592500,1009225,0.080593166,0.071246819,-1.142529766
E01000189,0.589,0.63,0.747,0.465,0.06,0.054,0.166666667,0.124341412,271500,395000,0.087336245,0.052890529,0.361712275
E01000190,0.305,0.445,0.598,0.494,0.155,0.191,0.066481994,0.083147736,465000,583500,0.034876347,0.044860875,-0.861029316
E01000191,0.35,0.389,0.565,0.507,0.192,0.237,0.052083333,0.091819699,499950,765000,0.027559055,0.037299035,-0.681243654
E01000192,0.38,0.385,0.616,0.545,0.156,0.182,0.065789474,0.082847896,307500,657500,0.127956989,0.105184447,0.583839055
E01000193,0.385,0.437,0.609,0.552,0.152,0.156,0.057489879,0.103643216,420000,580000,0.22462077,0.188630491,-0.676832457
E01000194,0.504,0.543,0.655,0.589,0.12,0.123,0.093495935,0.124741558,319500,585000,0.097694175,0.119513485,0.293649293
E01000195,0.457,0.451,0.758,0.664,0.092,0.099,0.123824451,0.141076115,175000,415000,0.093088071,0.103792415,1.045136598
E01000196,0.357,0.42,0.52,0.445,0.168,0.148,0.066760365,0.130076839,323750,485000,0.079845815,0.097902098,-0.65199836
E01000197,0.362,0.383,0.516,0.447,0.103,0.129,0.056722689,0.081714668,400000,765000,0.044021739,0.049781182,0.027741495
E01000198,0.331,0.385,0.516,0.465,0.126,0.151,0.054836253,0.09697344,482500,565000,0.048446551,0.051565378,-1.05782588
E01000199,0.275,0.344,0.493,0.429,0.229,0.268,0.043087971,0.07120743,472500,606250,0.046296296,0.042209808,-0.920569208
E01000200,0.304,0.347,0.522,0.427,0.251,0.255,0.055727554,0.112754159,318000,575000,0.034575905,0.033864542,-0.554510601
E01000201,0.336,0.4,0.525,0.44,0.18,0.251,0.078875793,0.094890511,1170000,1825000,0.0703125,0.045513654,-0.390033505
E01000202,0.283,0.322,0.46,0.398,0.154,0.175,0.036363636,0.068634686,352500,1007500,0.023904382,0.042628774,0.561746721
E01000203,0.437,0.467,0.601,0.512,0.132,0.138,0.094539527,0.139661017,377500,950000,0.06039489,0.078761543,0.777088891
E01000204,0.295,0.343,0.47,0.404,0.15,0.216,0.051868802,0.081412104,340000,1037500,0.046847889,0.047813411,0.738755721
E01000205,0.221,0.305,0.434,0.338,0.155,0.195,0.028195489,0.061908856,575000,850000,0.070680628,0.055776892,-1.576793075
E01000206,0.242,0.32,0.491,0.406,0.19,0.221,0.063610851,0.084951456,3175000,4000000,0.134652202,0.080699395,-0.734232379
E01000207,0.174,0.288,0.444,0.348,0.174,0.256,0.039747064,0.07557677,1205000,1625889,0.073910297,0.056627256,-1.89481035
E01000208,0.225,0.352,0.416,0.312,0.163,0.198,0.047326906,0.065084227,570000,1450000,0.061211743,0.053081147,0.139485675
E01000209,0.106,0.187,0.382,0.353,0.28,0.34,0.030075188,0.044462409,665000,992500,0.063178047,0.051451187,-1.040246786
E01000210,0.213,0.29,0.389,0.316,0.131,0.144,0.040149393,0.064102564,352500,875000,0.05931657,0.042718447,0.237268773
