LSOA code,All usual residents aged 16-74 ,Never worked and long term unemployed
E01001176,1321,145
E01001177,1132,111
E01001178,959,154
E01001179,1071,79
E01001180,1205,133
E01001181,1290,136
E01001182,1009,98
E01001183,1168,116
E01001184,995,64
E01001185,1231,74
E01001186,1280,137
E01001187,1430,115
E01001188,1306,134
E01001189,879,52
E01001190,1448,104
E01001191,1319,144
E01001192,819,71
E01001193,1225,115
E01001194,1141,64
E01032569,1180,126
E01034139,922,137
E01034140,1106,98
E01034141,389,23
E01034142,866,80
E01034143,216,19
E01034144,483,40
E01034145,897,90
E01034146,572,25
E01034147,0,0
E01034148,0,0
E01034149,1457,125
E01034150,570,26
E01034151,462,30
E01034152,1020,114
E01001195,1372,120
E01001196,1276,157
E01001197,1228,116
E01001198,1130,61
E01001199,1311,100
E01001200,1177,84
E01001201,1211,78
E01001202,1552,167
E01001203,1424,135
E01001204,1191,77
E01001205,1151,136
E01001206,1133,227
E01001207,1258,78
E01001208,937,40
E01001209,1235,42
E01001210,1174,219
E01001211,1270,85
E01001212,1207,83
E01001213,1407,213
E01001214,1350,129
E01001215,1285,208
E01001216,1158,146
E01001217,1147,100
E01001218,1350,195
E01001219,1380,269
E01001220,996,224
E01001223,1220,73
E01001224,1210,37
E01001225,1385,62
E01001226,1166,54
E01001227,1137,55
E01001228,1446,86
E01001229,1126,114
E01001230,1233,85
E01001231,1444,73
E01001232,1182,94
E01001233,1123,58
E01001234,1156,58
E01001235,1333,52
E01001236,1251,67
E01001237,1271,62
E01001239,1203,147
E01001240,1230,130
E01001241,1157,111
E01001242,1043,113
E01001243,1230,137
E01001244,1744,182
E01001245,1710,77
E01001246,1000,104
E01001247,1688,166
E01001248,1172,87
E01001249,1776,211
E01001250,1619,170
E01001251,1266,69
E01001252,1474,98
E01001253,1250,79
E01001254,1257,64
E01001255,1200,67
E01001257,1430,241
E01001258,1242,109
E01001259,1094,106
E01001260,1406,124
E01001261,1667,184
E01001262,1107,127
E01001263,975,105
E01001264,1131,128
E01001265,1264,114
E01001266,1404,116
E01001267,1665,181
E01001268,943,63
E01001269,1465,83
E01001270,1281,106
E01001271,1345,135
E01001272,1213,94
E01001273,1208,83
E01001274,1140,124
E01001275,1508,124
E01001276,1372,120
E01001277,1438,108
E01001278,1461,155
E01001279,1092,41
E01001280,1315,99
E01001281,1091,21
E01001282,1095,116
E01001283,1120,125
E01001284,1139,54
E01001285,1221,105
E01001286,1171,92
E01001287,1014,135
E01001288,1091,52
E01001289,1002,57
E01001290,1423,61
E01001291,960,97
E01001292,1289,100
E01001293,1441,157
E01001294,1457,154
E01001295,1376,156
E01001296,1115,123
E01001297,1366,167
E01001298,1400,202
E01001299,1341,55
E01001300,1227,29
E01001301,1481,54
E01001302,1220,50
E01001303,1243,41
E01001304,1283,38
E01001305,1292,42
E01001306,1223,38
E01001307,1400,103
E01001308,1541,108
E01001309,1366,109
E01001310,1346,120
E01001311,1494,173
E01001312,1360,107
E01001313,1295,95
E01001314,1194,71
E01001315,1091,82
E01001316,1105,136
E01001317,1302,146
E01001318,1217,145
E01001319,1071,94
E01001320,1021,123
E01001321,1449,133
E01001322,1289,119
E01001323,1304,106
E01001324,1133,135
E01001325,1225,133
E01001326,1169,151
E01001327,1288,171
E01001328,1184,170
E01001329,1208,122
E01001330,1127,165
E01001331,1118,202
E01001332,1091,164
E01001333,1382,247
E01001334,1145,194
E01001335,1308,110
E01001336,1183,146
E01001337,1129,124
E01001338,1417,289
E01001339,1295,224
E01001340,1521,317
E01001341,1283,115
E01001342,1410,126
E01001343,1135,106
E01001344,1639,135
E01001345,1225,147
E01001346,1388,99
E01001347,1189,90
E01001348,1207,76
E01001349,1057,126
E01001350,1131,87
E01001351,1486,129
E01001352,1171,67
E01001353,1296,107
E01001354,1398,94
E01001355,1327,100
E01001356,1334,253
E01001357,787,103
E01001358,1065,212
E01001359,1594,271
E01001360,1437,200
E01001361,1334,238
E01001362,1511,234
E01001363,1198,203
E01001364,1253,223
